year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,dir,judrev,year_06,country_06,kaopen,openc,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,educexp_gov,educexp_gov_ipol,educexp_public,educexp_public_ipol,educexp_private,educexp_private_ipol,educatt_minimal,educatt_minimal_ipol,educatt_tertiary,educatt_tertiary_ipol,year_11,country_11,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_12,country_12,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_13,country_13
2011,Canada,5,CAN,124,1,0,0,0,"100,00","0,00","0,00",1,0,0,1,"100,00","0,00","0,00","51,08","0,00","0,00","51,08",1,2011,Canada,02.05.2011,"61,1","30,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9","0,0","0,0","6,1","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9",2011,Canada,"33,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","53,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,3","0,0","0,0","1,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1",2011,Canada,"24,8","0,71","0,59","3,43","2,41","1,02","0,30","12,46",2011,Canada,,,,,,,,,,,,,"-0,60","-1,12","0,26",2011,Canada,3,5,2,0,0,"3,0",0,"-2,00",1,2011,Canada,"1,00","62,33","41,67","38,36","3,14","6,49","2,91","89,14","89,14","-3,32","-2,71","-1,83","2,78","-2,78",2011,Canada,"18619,57","18619,60","17221,00","77,75","71,85","375,60","3414,80","13430,63","1398,50","7,51",2011,Canada,"149,00","91147,00","1350,60","72,54","4625,78","4625,78","29,38","28,97","4625,78","4625,78","29,38","28,97",2011,Canada,"9,28","17,05","8,68","8,09","3,95","0,34","0,85","7,18","1,23","0,27","0,65","0,35","2,23",2011,Canada,"5,28","5,28","4,83","4,83","1,49","1,49",,"11,31",,"51,28",2011,Canada,"0,73","0,28",,"0,22","0,00",,"0,11","0,09","0,00","0,00","0,01","0,04","0,01","0,65","0,00",2011,Canada,"0,92","0,25",,,,"34483,98","23865,71","4983,36","14,45",2011,Canada
2012,Canada,5,CAN,124,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","53,90","0,00","0,00","53,90",1,2012,Canada,,"61,1","30,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9","0,0","0,0","6,1","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9",2012,Canada,"33,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","53,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,3","0,0","0,0","1,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1",2012,Canada,"24,7","0,71","0,59","3,43","2,41","1,02","0,30","12,46",2012,Canada,,,,,,,,,,,,,"-0,56","-1,10","0,32",2012,Canada,3,5,2,0,0,"3,0",0,"-2,00",1,2012,Canada,"1,00","62,26","41,02","38,49","1,75","2,99","1,52","92,91","92,91","-2,53","-1,83","-0,72","1,87","-3,60",2012,Canada,"18809,53","18809,50","17438,00","77,80","72,05","374,70","3488,10","13575,18","1371,60","7,29",2012,Canada,"281,00","137398,00","904,02","48,06","4663,74","4663,74","29,23","29,31","4663,74","4663,74","29,23","29,31",2012,Canada,"9,20","17,10","8,78","8,07","4,10","0,37","0,83","7,17","1,24","0,25","0,59","0,34","2,22",2012,Canada,,,,,,,,"10,88",,"52,26",2012,Canada,"0,73","0,28",,"0,23","0,00",,"0,10","0,09","0,00","0,00","0,01","0,04","0,01","0,59","0,00",2012,Canada,"0,92","0,25",,,,"34880,49","24030,51","5186,82","14,87",2012,Canada
2013,Canada,5,CAN,124,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","53,90","0,00","0,00","53,90",1,2013,Canada,,"61,1","30,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9","0,0","0,0","6,1","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9",2013,Canada,"33,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","53,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,3","0,0","0,0","1,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1",2013,Canada,"24,7","0,71","0,59","3,43","2,41","1,02","0,30","12,46",2013,Canada,,,,,,,,,,,,,"-0,77","-1,07","0,03",2013,Canada,3,5,2,0,0,"3,0",0,"-2,00",1,2013,Canada,"1,00","61,98","40,06","38,56","2,48","4,10","0,94","90,07","90,07","-1,50","-1,00","-0,08","2,26","-3,22",2013,Canada,"19037,78","19037,80","17691,10","78,03","72,44","381,80","3518,00","13791,31","1346,70","7,07",2013,Canada,"165,00","205726,00","1498,95","78,74",,,"29,50","29,01",,,"29,50","29,01",2013,Canada,"9,20","16,89","8,67","7,97","4,13","0,35","0,79","7,11","1,21","0,25","0,56","0,32","2,16",2013,Canada,,,,,,,,"10,45",,"53,23",2013,Canada,"0,70","0,28",,"0,22",,,"0,10","0,09","0,00","0,00","0,01","0,04","0,01","0,56","0,00",2013,Canada,"0,92","0,25","41,00","38,90","31,30","35154,00","24102,00","5381,00","15,31",2013,Canada
2014,Canada,5,CAN,124,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","53,90","0,00","0,00","53,90",1,2014,Canada,,"61,1","30,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,9","0,0","0,0","6,1","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,9",2014,Canada,"33,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","53,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,3","0,0","0,0","1,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1",2014,Canada,"25,1","0,71","0,59","3,43","2,41","1,02","0,30","12,46",2014,Canada,,,,,,,,,,,,,"-0,89","-1,10","-0,20",2014,Canada,3,5,2,0,0,"3,0",0,"-2,00",1,2014,Canada,"1,00","64,14","38,46","38,64","2,86","4,88","1,91","91,89","91,89","0,18","0,45","0,95","2,23","-2,40",2014,Canada,"19124,46","19124,50","17802,20","77,76","72,30","370,10","3516,40","13915,69","1322,30","6,91",2014,Canada,"153,00","80474,00","1711,33","89,48",,,,,,,,,2014,Canada,"8,98","16,82","8,68","7,92","4,22","0,35","0,77","7,07","1,18","0,23","0,57","0,31","2,13",2014,Canada,,,,,,,,"10,03",,"54,20",2014,Canada,"0,68","0,28",,"0,22",,,"0,09","0,08","0,00","0,00","0,01","0,04","0,00","0,57","0,00",2014,Canada,,,,,,"35540,00","24246,00","5585,00","15,71",2014,Canada
2015,Canada,5, CAN,124,1,0,0,0,"84,11","15,89","0,00",1,0,0,1,"84,11","15,89","0,00","45,34","8,64","0,00","53,98",1,2015,Canada,15.10.2015,"68,3","19,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","31,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,4","0,0","0,0","4,7","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8",2015,Canada,"13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","29,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,3","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2015,Canada,"26,0","0,70","0,60","3,33","2,50","0,83","0,25","11,96",2015,Canada,,,,,,,,,,,,,"-0,83","-1,14","-0,05",2015,Canada,3,5,2,0,0,"3,0",0,"-2,00",1,2015,Canada,,,"39,89","39,76","1,00","0,24","1,13","97,48","97,48","-0,13","0,52","1,58","1,52","-3,59",2015,Canada,"19278,04","19278,00","17946,60","77,97","72,51","359,90","3500,10","14086,61","1331,40","6,91",2015,Canada,"237,00","428802,00","1845,50","95,73",,,,,,,,,2015,Canada,"9,59",,,,,,,,,,,,,2015,Canada,,,,,,,"9,60","9,60","55,17","55,17",2015,Canada,,,,,,,,,,,,,,,,2015,Canada,,,,,,,,,,2015,Canada
2016,Canada,5,CAN,124,1,0,0,0,"0,00","100,00","0,00",1,0,0,0,"0,00","100,00","0,00","0,00","54,40","0,00","54,40",1,2016,Canada,,"68,3","19,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","31,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,4","0,0","0,0","4,7","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8",2016,Canada,"13,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","29,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,3","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",2016,Canada,"26,0","0,70","0,60","3,33","2,50","0,83","0,25","11,96",2016,Canada,,,,,,,,,,,,,"-1,13","-1,19","-0,46",2016,Canada,3,5,2,0,0,"3,0",0,,1,2016,Canada,,,"40,68","39,58","1,41","2,03","1,43","97,77","97,77","-1,10","-0,41","0,84","1,25","-3,22",2016,Canada,"19440,52",,,"78,11","72,57","352,20","3467,60","14260,10","1363,78","6,99",2016,Canada,"189,00","44391,00","631,87","32,50",,,,,,,,,2016,Canada,"9,88",,,,,,,,,,,,,2016,Canada,,,,,,,"9,39","9,39","56,27","56,27",2016,Canada,,,,,,,,,,,,,,,,2016,Canada,,,,,,,,,,2016,Canada
2000,Croatia,6,HRV,191,0,1,0,0,"37,50","12,50","45,83",3,1,,0,"31,14","17,78","51,08","18,57","10,60","30,46","59,63",2,2000,Croatia,03.01.2000,"72,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","27,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","5,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,2","14,9","0,0","13,6",2000,Croatia,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","47,0","15,9","0,0","3,3",2000,Croatia,"20,5","0,75","0,66","3,97","2,94","1,04","0,26","6,25",2000,Croatia,,,,,,,,,,,,,,,,2000,Croatia,,1,0,1,2,"3,0",0,"2,00",1,2000,Croatia,"0,41","76,06",,,"3,77","8,37","4,45","35,50","35,50",,,,,"-2,40",2000,Croatia,"1849,01",,,,,"232,98","822,96","840,74","284,00","15,60",2000,Croatia,,,,,"440,44","440,40","37,25",,"440,44","440,40","37,25",,2000,Croatia,,,,,,,,,,,,,,2000,Croatia,,,,,,,,,,,2000,Croatia,,,,,,,,,,,,,,,,2000,Croatia,,,,,,"4425,66",,,,2000,Croatia
2001,Croatia,6,HRV,191,0,1,0,0,"36,87","12,50","46,92",3,0,0,1,"30,31","17,99","51,70","17,88","10,60","30,46","58,94",2,2001,Croatia,,"72,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","27,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","5,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,2","14,9","0,0","13,6",2001,Croatia,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","47,0","15,9","0,0","3,3",2001,Croatia,"20,5","0,75","0,66","3,97","2,94","1,04","0,26","6,25",2001,Croatia,,,,,,,,,,,,,,,,2001,Croatia,,0,0,1,2,"1,0",0,"2,00",1,2001,Croatia,"0,41","80,84","45,40","43,30","3,43","7,78","4,26","36,50","36,50",,,,,"-3,00",2001,Croatia,"1837,89",,,"63,82",,"225,63","809,86","844,76","283,00","16,00",2001,Croatia,,,,,,,,,"444,53","444,50","37,44",,2001,Croatia,"13,11",,,,,,,,,,,,,2001,Croatia,,,,,,,,,,,2001,Croatia,,,,,,,,,,,,,,,,2001,Croatia,,,,,,"4299,90","2879,74","701,04","16,30",2001,Croatia
2002,Croatia,6,HRV,191,0,1,0,0,"30,42","14,27","55,31",3,0,0,1,"22,47","20,02","57,51","12,25","10,60","30,46","53,31",3,2002,Croatia,,"72,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","27,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","5,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","39,2","14,9","0,0","13,6",2002,Croatia,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","47,0","15,9","0,0","3,3",2002,Croatia,"20,5","0,75","0,66","3,97","2,94","1,04","0,26","6,25",2002,Croatia,,,,,,,,,,,,,,,,2002,Croatia,,0,0,1,2,"1,0",0,"2,00",1,2002,Croatia,"0,41","83,22","50,40","47,00","5,25","8,91","2,53","36,60","36,60","-3,50","-1,70",,,"-7,30",2002,Croatia,"1842,40",,,"64,03",,"228,92","805,32","853,75","274,00","15,30",2002,Croatia,,,,,,,,,"448,62","448,60","37,64",,2002,Croatia,"16,07",,,,,,,,,,,,,2002,Croatia,"3,80","3,80","3,71","3,71","0,13","0,13",,,,,2002,Croatia,,,,,,,,,,,,,,,,2002,Croatia,,,,,,"4304,89","2877,33","717,12","16,66",2002,Croatia
2003,Croatia,6,HRV,191,0,1,0,0,"20,48","18,39","60,96",3,0,0,2,"16,64","23,32","60,04","8,26","11,41","29,71","49,38",5,2003,Croatia,23.11.2003,"62,1","22,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,9","0,0","0,0","0,0","0,0","0,0","0,0","8,0","4,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","13,8",2003,Croatia,"28,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","43,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,2","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","2,0","0,0","0,0","0,0","0,0","0,0","3,9",2003,Croatia,"20,5","0,82","0,72","5,41","3,56","1,85","0,34","10,28",2003,Croatia,,,,,,,,,,,,,,,,2003,Croatia,,0,0,1,2,"1,0",0,"2,00",1,2003,Croatia,"0,70","85,22","49,90","45,20","5,56","9,83","2,40","38,10","38,10","-4,70","-2,90",,,"-6,20",2003,Croatia,"1862,38",,,"64,78",,"233,18","817,12","877,70","255,00","14,10",2003,Croatia,,,,,,,,,"452,70","452,70","37,84",,2003,Croatia,"13,33",,,,,,,,,,,,,2003,Croatia,"3,87","3,87","3,93","3,93",,"0,18",,,,,2003,Croatia,,,,,,,,,,,,,,,,2003,Croatia,,,,,,"4305,00","2875,11","729,98","16,96",2003,Croatia
2004,Croatia,6,HRV,191,0,1,0,0,"6,67","86,67","0,00",1,1,-2,0,"1,50","98,50","0,00","0,66","43,42","0,00","44,08",5,2004,Croatia,,"62,1","22,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,9","0,0","0,0","0,0","0,0","0,0","0,0","8,0","4,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","13,8",2004,Croatia,"28,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","43,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,2","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","2,0","0,0","0,0","0,0","0,0","0,0","3,9",2004,Croatia,"21,7","0,82","0,72","5,41","3,56","1,85","0,34","10,28",2004,Croatia,,,,,,,,,,,,,,,,2004,Croatia,,0,0,1,2,"1,0",0,"2,00",1,2004,Croatia,"0,70","84,92","48,60","43,40","4,08","7,96","2,14","40,20","40,20","-5,20","-3,30",,,"-4,30",2004,Croatia,"1875,92",,,"65,22",,"228,97","817,38","892,49","255,00","13,80",2004,Croatia,,,,,"456,79","456,80","38,03",,"456,79","456,80","38,03",,2004,Croatia,"13,57",,,,,,,,,,,,,2004,Croatia,"3,82","3,82","3,87","3,87",,"0,23","30,40","30,40","13,50","13,50",2004,Croatia,,,,,,,,,,,,,,,,2004,Croatia,,,,,,"4308,67","2876,32","741,28","17,20",2004,Croatia
